architecture,total_requests,completed_requests,total_duration_sec,throughput_req_per_sec,p50_latency_sec,p95_latency_sec,p99_latency_sec,avg_queue_wait_sec,retries,timeouts,crashes
monolithic,1,1,1.231143,0.8122533288172048,1.231143,1.231143,1.231143,0.0,0,0,0
master_worker,1,1,0.62206,1.607561971514002,0.60847,0.60847,0.60847,0.2654771,0,0,0
master_worker,1,1,0.3232,3.094059405940594,0.312685,0.312685,0.312685,0.1221253,0,0,0
queue_based,1,1,0.725797,1.377795719739817,0.710797,0.710797,0.710797,0.27055239999999997,0,0,0
queue_based,1,1,0.416735,2.3996064645398154,0.405736,0.405736,0.405736,0.1171379,0,0,0
monolithic,1,1,0.544744,1.835724670670994,0.544744,0.544744,0.544744,0.0,0,0,0
master_worker,1,1,0.545237,1.8340648195188516,0.535238,0.535238,0.535238,0.0002002,0,0,0
queue_based,1,1,0.65404,1.52895847348786,0.643041,0.643041,0.643041,0.0,0,0,0
master_worker,1,1,1.255615,0.796422470263576,1.244614,1.244614,1.244614,0.30599855,0,0,0
queue_based,1,1,0.676473,1.478255599262646,0.664398,0.664398,0.664398,0.15151645,0,0,0
master_worker,1,1,2.060094,0.48541474321074674,2.048094,2.048094,2.048094,0.0005034,0,0,0
queue_based,1,1,2.101541,0.4758412993132182,2.089455,2.089455,2.089455,0.0,0,0,0
swarm,1,1,0.083585,11.963869115271878,0.077001,0.077001,0.077001,0.0001999,0,0,0
swarm,1,1,0.54617,1.830931761173261,0.539171,0.539171,0.539171,0.0,0,0,0
master_worker,1,1,0.259114,3.8593051706970676,0.248574,0.248574,0.248574,0.0799363,0,0,5
queue_based,1,1,34.335661,0.029124239081927093,34.314659,34.314659,34.314659,0.00158485,0,0,17
