architecture,total_requests,completed_requests,total_duration_sec,throughput_req_per_sec,p50_latency_sec,p95_latency_sec,p99_latency_sec,avg_queue_wait_sec,retries,timeouts,crashes
monolithic,1,1,0.327417,3.0542091583515822,0.327417,0.327417,0.327417,0.0,0,0,0
queue_based,1,1,0.215923,4.631280595397433,0.196925,0.196925,0.196925,0.02830045,0,0,0
monolithic,1,1,0.616251,1.622715419528731,0.616251,0.616251,0.616251,0.0,0,0,0
queue_based,1,1,0.268985,3.7176794245032254,0.255987,0.255987,0.255987,0.05746615,0,0,0
monolithic,1,1,1.218527,0.8206629807956657,1.218527,1.218527,1.218527,0.0,0,0,0
queue_based,1,1,0.439368,2.275996431237596,0.426369,0.426369,0.426369,0.1214461,0,0,0
monolithic,1,1,2.129553,0.4695821141807694,2.129553,2.129553,2.129553,0.0,0,0,0
queue_based,1,1,0.678528,1.4737785323523862,0.66493,0.66493,0.66493,0.2106704,0,0,0
monolithic,1,1,4.272359,0.2340627274065686,4.272359,4.272359,4.272359,0.0,0,0,0
queue_based,1,1,1.113364,0.8981788525585522,1.099364,1.099364,1.099364,0.37035724999999997,0,0,0
monolithic,1,1,6.318468,0.15826621263255586,6.318468,6.318468,6.318468,0.0,0,0,0
queue_based,1,1,1.942282,0.5148582955513153,1.929281,1.929281,1.929281,0.6691965,0,0,0
monolithic,1,1,11.917548,0.08390987810579827,11.917548,11.917548,11.917548,0.0,0,0,0
queue_based,1,1,3.097273,0.32286466191388363,3.082864,3.082864,3.082864,1.0538137,0,0,0
